Suburb,Price,Date,CouncilArea
Flemington,957000.0,22/05/2016,Melbourne
Kensington,785000.0,3/09/2016,Melbourne
Kensington,852000.0,3/09/2016,Melbourne
Kensington,1037000.0,3/09/2016,Melbourne
Kensington,775000.0,3/12/2016,Melbourne
Kensington,1470000.0,4/03/2017,Melbourne
Kensington,630000.0,4/03/2017,Melbourne
Kensington,492500.0,4/06/2016,Melbourne
Kensington,420000.0,4/06/2016,Melbourne
Kensington,650000.0,4/06/2016,Melbourne
Kensington,1050000.0,4/06/2016,Melbourne
Kensington,1291000.0,6/08/2016,Melbourne
Kensington,420000.0,6/08/2016,Melbourne
Kensington,961000.0,7/05/2016,Melbourne
Kensington,1271000.0,7/05/2016,Melbourne
Kensington,1010000.0,7/05/2016,Melbourne
Kensington,750000.0,7/05/2016,Melbourne
Kensington,1675000.0,7/05/2016,Melbourne
Kensington,905000.0,8/10/2016,Melbourne
Kensington,960000.0,8/10/2016,Melbourne
Kensington,1031000.0,8/10/2016,Melbourne
Kensington,918000.0,8/10/2016,Melbourne
Kensington,870000.0,8/10/2016,Melbourne
Kensington,1165000.0,10/09/2016,Melbourne
Kensington,1710000.0,10/09/2016,Melbourne
Kensington,360000.0,10/12/2016,Melbourne
Kensington,1455000.0,10/12/2016,Melbourne
Kensington,365000.0,10/12/2016,Melbourne
Kensington,551000.0,10/12/2016,Melbourne
Kensington,442000.0,10/12/2016,Melbourne
Kensington,765000.0,10/12/2016,Melbourne
Kensington,515000.0,11/02/2017,Melbourne
Kensington,370000.0,12/06/2016,Melbourne
Kensington,1005000.0,12/11/2016,Melbourne
Kensington,1234500.0,13/08/2016,Melbourne
Kensington,666000.0,13/08/2016,Melbourne
Kensington,825000.0,14/05/2016,Melbourne
Kensington,770000.0,14/05/2016,Melbourne
Kensington,1135000.0,15/10/2016,Melbourne
Kensington,975000.0,15/10/2016,Melbourne
Kensington,812000.0,16/04/2016,Melbourne
Kensington,1900000.0,16/04/2016,Melbourne
Kensington,732000.0,18/06/2016,Melbourne
Kensington,1260000.0,19/11/2016,Melbourne
Kensington,1000000.0,19/11/2016,Melbourne
Kensington,700000.0,19/11/2016,Melbourne
Kensington,813500.0,22/05/2016,Melbourne
Kensington,526000.0,22/08/2016,Melbourne
Kensington,790000.0,22/08/2016,Melbourne
Kensington,700000.0,22/08/2016,Melbourne
Kensington,370000.0,22/08/2016,Melbourne
Kensington,1230000.0,22/08/2016,Melbourne
